Easting,Northing,Severity of casualty,Casualty Class,Sex,Age,Date,Day of week,Hour of day,Local authority,Vehicle type,Pedestrian Locality
534890,193590,Serious,Pedestrian,Female,3,21/10/2010,Thursday,16,Enfield,Car,Not a pedestrian
527250,200350,Serious,Driver or rider,Female,24,26/10/2010,Tuesday,11,Enfield,Car,Not a pedestrian
534160,192740,Serious,Driver or rider,Male,27,29/10/2010,Friday,19,Enfield,Moped,Crossing elsewhere within 50m. of ped.crossing
528240,196020,Serious,Pedestrian,Female,65,29/10/2010,Friday,17,Enfield,Car,Not a pedestrian
535690,198960,Serious,Passenger,Male,10,24/10/2010,Sunday,20,Enfield,Car,Not a pedestrian
535690,198960,Serious,Passenger,Male,9,24/10/2010,Sunday,20,Enfield,Car,"In carriageway, crossing elsewhere"
534120,192540,Serious,Pedestrian,Male,91,02/11/2010,Tuesday,17,Enfield,Car,Not a pedestrian
532340,196670,Serious,Driver or rider,Male,42,17/11/2010,Wednesday,12,Enfield,Motorcycle over 500cc,"In carriageway, crossing elsewhere"
528420,195680,Serious,Pedestrian,Male,24,11/11/2010,Thursday,14,Enfield,Car,Not a pedestrian
534250,192340,Serious,Pedestrian,Male,10,06/12/2010,Monday,19,Enfield,Car,Not a pedestrian
535620,192150,Serious,Pedestrian,Male,42,05/12/2010,Sunday,12,Enfield,Car,"In carriageway, crossing elsewhere"
531540,189570,Serious,Pedestrian,Male,30,12/01/2010,Tuesday,5,Haringey,Car,Not a pedestrian
531840,188190,Serious,Pedestrian,Female,20,29/01/2010,Friday,19,Haringey,Motor cycle 125cc and under,Not a pedestrian
533760,189540,Serious,Pedestrian,Female,41,29/01/2010,Friday,17,Haringey,Car,Crossing on ped. crossing facility
533630,188490,Serious,Pedestrian,Male,10,30/01/2010,Saturday,16,Haringey,Car,Not a pedestrian
531200,190240,Serious,Pedestrian,Male,3,30/01/2010,Saturday,10,Haringey,Motor cycle 125cc and under,"In carriageway, crossing elsewhere"
532310,188690,Serious,Driver or rider,Female,21,03/02/2010,Wednesday,17,Haringey,Car,"In carriageway, crossing elsewhere"
533040,188430,Serious,Pedestrian,Female,35,04/02/2010,Thursday,17,Haringey,Car,Not a pedestrian
530260,190980,Serious,Driver or rider,Male,34,11/02/2010,Thursday,8,Haringey,Pedal cycle,Not a pedestrian
531200,189970,Serious,Pedestrian,Female,69,07/03/2010,Sunday,17,Haringey,Pedal cycle,Not a pedestrian
533250,190280,Serious,Driver or rider,Female,33,11/03/2010,Thursday,14,Haringey,Car,"In carriageway, crossing elsewhere"
533620,189500,Serious,Pedestrian,Female,50,12/03/2010,Friday,13,Haringey,Other motor vehicle,Not a pedestrian
533910,190610,Serious,Pedestrian,Female,69,09/03/2010,Tuesday,20,Haringey,Car,"In carriageway, crossing elsewhere"
531060,190270,Serious,Pedestrian,Male,22,01/04/2010,Thursday,0,Haringey,Bus or coach (17 or more pass seats),Not a pedestrian
533660,189010,Serious,Pedestrian,Female,45,30/05/2010,Sunday,22,Haringey,Car,Not a pedestrian
533630,190330,Serious,Pedestrian,Male,32,09/04/2010,Friday,6,Haringey,Car,Crossing on ped. crossing facility
530970,189590,Serious,Driver or rider,Male,unknown,30/03/2010,Tuesday,22,Haringey,Motor cycle 125cc and under,Not a pedestrian
532740,187960,Serious,Driver or rider,Male,33,04/03/2010,Thursday,17,Hackney,Pedal cycle,Not a pedestrian
527660,188730,Serious,Driver or rider,Male,22,09/03/2010,Tuesday,13,Haringey,Motor cycle 125cc and under,Not a pedestrian
531470,186790,Serious,Driver or rider,Male,44,05/03/2010,Friday,15,Islington,Motorcycle over 500cc,Not a pedestrian
530590,190750,Serious,Driver or rider,Male,22,28/02/2010,Sunday,3,Haringey,Car,On footway or verge
531230,189080,Serious,Pedestrian,Female,unknown,24/03/2010,Wednesday,8,Haringey,Car,Not a pedestrian
533620,188500,Serious,Pedestrian,Female,40,28/04/2010,Wednesday,16,Haringey,Motor cycle 125cc and under,"In carriageway, crossing elsewhere"
533250,188450,Serious,Pedestrian,Male,unknown,04/04/2010,Sunday,6,Haringey,Car,"In carriageway, not crossing"
530120,189440,Serious,Pedestrian,Male,11,20/04/2010,Tuesday,18,Haringey,Car,"In carriageway, crossing elsewhere"
531820,188280,Serious,Pedestrian,Male,unknown,07/05/2010,Friday,7,Haringey,Car,Not a pedestrian
530860,190830,Serious,Driver or rider,Male,unknown,08/05/2010,Saturday,12,Haringey,Pedal cycle,Not a pedestrian
533890,191210,Serious,Driver or rider,Male,56,27/04/2010,Tuesday,8,Haringey,Car,Not a pedestrian
533100,188490,Serious,Pedestrian,Female,33,19/05/2010,Wednesday,6,Haringey,Goods over 3.5t and under 7.5t mgw,Not a pedestrian
533280,188330,Serious,Pedestrian,Female,60,17/05/2010,Monday,18,Haringey,Pedal cycle,Not a pedestrian
532680,185510,Serious,Driver or rider,Male,46,22/06/2010,Tuesday,12,Hackney,Pedal cycle,Not a pedestrian
530590,190750,Serious,Driver or rider,Female,20,25/06/2010,Friday,20,Haringey,Car,Not a pedestrian
527960,188480,Serious,Driver or rider,Male,25,26/06/2010,Saturday,10,Haringey,Pedal cycle,Not a pedestrian
527390,187570,Serious,Driver or rider,Male,28,15/07/2010,Thursday,18,Haringey,Car,Not a pedestrian
528750,189680,Serious,Driver or rider,Male,unknown,01/08/2010,Sunday,9,Haringey,Car,Not a pedestrian
533620,188220,Serious,Pedestrian,Male,34,30/07/2010,Friday,14,Haringey,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
533320,188650,Serious,Pedestrian,Male,32,06/08/2010,Friday,7,Haringey,Bus or coach (17 or more pass seats),Not a pedestrian
534070,189080,Serious,Driver or rider,Male,26,31/08/2010,Tuesday,12,Haringey,Car,Not a pedestrian
527920,188530,Serious,Passenger,Male,29,06/09/2010,Monday,20,Haringey,Bus or coach (17 or more pass seats),Not a pedestrian
527920,188530,Serious,Driver or rider,Male,39,06/09/2010,Monday,20,Haringey,Car,"In carriageway, crossing elsewhere"
533850,188910,Serious,Driver or rider,Male,39,09/09/2010,Thursday,8,Haringey,Car,Crossing on ped. crossing facility
533910,190900,Serious,Driver or rider,Male,35,02/10/2010,Saturday,10,Haringey,Motorcycle over 500cc,Not a pedestrian
533910,190900,Serious,Driver or rider,Male,51,02/10/2010,Saturday,10,Haringey,Pedal cycle,Crossing elsewhere within 50m. of ped.crossing
531520,189590,Serious,Pedestrian,Male,54,01/10/2010,Friday,22,Haringey,Motorcycle over 125cc and up to 500cc,Not a pedestrian
534380,189470,Serious,Driver or rider,Male,42,29/09/2010,Wednesday,8,Haringey,Taxi/Private hire car,Not a pedestrian
529010,187560,Serious,Pedestrian,Female,77,29/09/2010,Wednesday,8,Haringey,Motorcycle over 500cc,Not a pedestrian
533620,188230,Serious,Driver or rider,Male,22,23/04/2010,Friday,18,Haringey,Pedal cycle,Not a pedestrian
533810,190130,Serious,Pedestrian,Male,57,13/09/2010,Monday,11,Haringey,Other motor vehicle,Not a pedestrian
530510,188790,Serious,Driver or rider,Male,65,12/10/2010,Tuesday,16,Haringey,Car,Not a pedestrian
530980,190440,Serious,Pedestrian,Male,30,17/10/2010,Sunday,1,Haringey,Bus or coach (17 or more pass seats),"In carriageway, crossing elsewhere"
531830,190000,Serious,Pedestrian,Male,45,09/10/2010,Saturday,12,Haringey,Car,Not a pedestrian
531270,190480,Serious,Pedestrian,Male,3,14/10/2010,Thursday,15,Haringey,Car,Crossing on ped. crossing facility
530530,188510,Serious,Driver or rider,Male,unknown,11/10/2010,Monday,15,Haringey,Pedal cycle,Not a pedestrian
527840,188570,Serious,Driver or rider,Female,23,03/11/2010,Wednesday,19,Haringey,Car,Not a pedestrian
530460,188770,Serious,Driver or rider,Male,25,03/11/2010,Wednesday,20,Haringey,Moped,On footway or verge
528870,187770,Serious,Driver or rider,Male,25,16/10/2010,Saturday,16,Haringey,Motor cycle 125cc and under,Not a pedestrian
531070,190290,Serious,Pedestrian,Female,31,11/11/2010,Thursday,12,Haringey,Car,"In carriageway, crossing elsewhere"
533060,191310,Serious,Passenger,Female,60,27/11/2010,Saturday,7,Haringey,Car,Not a pedestrian
532230,190530,Serious,Driver or rider,Male,21,23/11/2010,Tuesday,9,Haringey,Pedal cycle,Not a pedestrian
530130,188460,Serious,Pedestrian,Female,44,07/12/2010,Tuesday,7,Haringey,Motorcycle over 500cc,"In carriageway, crossing elsewhere"
531360,167550,Serious,Driver or rider,Male,19,05/01/2010,Tuesday,21,Croydon,Motor cycle 125cc and under,Not a pedestrian
532700,167150,Serious,Driver or rider,Male,34,20/01/2010,Wednesday,1,Croydon,Motorcycle over 500cc,Crossing on ped. crossing facility
531680,166710,Serious,Pedestrian,Male,23,21/01/2010,Thursday,17,Croydon,Car,Not a pedestrian
535450,164120,Serious,Driver or rider,Female,29,18/01/2010,Monday,7,Croydon,Car,Not a pedestrian
530530,159680,Serious,Driver or rider,Female,26,02/02/2010,Tuesday,17,Croydon,Car,Not a pedestrian
531360,167550,Serious,Pedestrian,Female,80,19/01/2010,Tuesday,15,Croydon,Car,"In carriageway, crossing elsewhere"
534860,159780,Serious,Passenger,Female,54,03/02/2010,Wednesday,17,Croydon,Bus or coach (17 or more pass seats),Not a pedestrian
532920,165680,Serious,Pedestrian,Female,unknown,03/02/2010,Wednesday,14,Croydon,Car,Crossing elsewhere within 50m. of ped.crossing
534150,166310,Serious,Pedestrian,Male,89,10/02/2010,Wednesday,18,Croydon,Car,Not a pedestrian
532480,160210,Serious,Driver or rider,Male,79,13/02/2010,Saturday,15,Croydon,Car,Not a pedestrian
534400,168690,Serious,Driver or rider,Female,23,24/02/2010,Wednesday,8,Croydon,Car,On footway or verge
532870,163650,Serious,Pedestrian,Female,55,24/02/2010,Wednesday,18,Croydon,Car,Not a pedestrian
532420,168350,Serious,Driver or rider,Female,45,06/03/2010,Saturday,15,Croydon,Car,Not a pedestrian
531090,164530,Serious,Driver or rider,Male,65,07/03/2010,Sunday,0,Croydon,Car,Not a pedestrian
531850,166510,Serious,Pedestrian,Male,53,01/01/2010,Friday,4,Croydon,Car,Not a pedestrian
534650,160230,Serious,Driver or rider,Male,18,27/03/2010,Saturday,2,Croydon,Car,Not a pedestrian
533120,161610,Serious,Driver or rider,Male,29,07/04/2010,Wednesday,17,Croydon,Car,Not a pedestrian
532210,164360,Serious,Driver or rider,Male,41,17/04/2010,Saturday,11,Croydon,Car,Not a pedestrian
528870,159130,Serious,Pedestrian,Male,unknown,07/05/2010,Friday,1,Croydon,Car,Not a pedestrian
531530,167110,Serious,Driver or rider,Female,37,15/04/2010,Thursday,13,Croydon,Pedal cycle,Not a pedestrian
531780,170980,Serious,Passenger,Male,unknown,28/04/2010,Wednesday,9,Lambeth,Car,"In carriageway, crossing elsewhere"
533110,167520,Serious,Driver or rider,Male,26,25/05/2010,Tuesday,19,Croydon,Motorcycle over 500cc,Not a pedestrian
531900,160660,Serious,Driver or rider,Male,18,04/06/2010,Friday,23,Croydon,Motor cycle 125cc and under,Not a pedestrian
532680,167540,Serious,Driver or rider,Male,27,03/06/2010,Thursday,9,Croydon,Motorcycle over 500cc,Not a pedestrian
531240,167940,Serious,Driver or rider,Male,unknown,04/06/2010,Friday,19,Croydon,Motor cycle 125cc and under,Not a pedestrian
532320,165410,Serious,Driver or rider,Male,23,11/06/2010,Friday,9,Croydon,Pedal cycle,On footway or verge
532120,166060,Serious,Pedestrian,Male,17,11/06/2010,Friday,20,Croydon,Bus or coach (17 or more pass seats),Not a pedestrian
531800,167220,Serious,Passenger,Female,unknown,17/06/2010,Thursday,14,Croydon,Car,Not a pedestrian
536720,163260,Serious,Driver or rider,Female,18,07/07/2010,Wednesday,18,Croydon,Motor cycle 125cc and under,Not a pedestrian
532750,165670,Serious,Pedestrian,Female,20,12/07/2010,Monday,10,Croydon,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
532310,160770,Serious,Driver or rider,Male,50,20/07/2010,Tuesday,8,Croydon,Car,Not a pedestrian
532610,170420,Serious,Driver or rider,Male,23,14/07/2010,Wednesday,18,Croydon,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
530730,168110,Serious,Driver or rider,Male,39,19/07/2010,Monday,18,Croydon,Pedal cycle,Not a pedestrian
531750,165980,Serious,Pedestrian,Female,27,20/07/2010,Tuesday,17,Croydon,Car,Crossing on ped. crossing facility
531230,167970,Serious,Pedestrian,Female,13,23/07/2010,Friday,14,Croydon,Car,"In carriageway, crossing elsewhere"
531040,164860,Serious,Driver or rider,Male,56,03/08/2010,Tuesday,9,Croydon,Motorcycle over 500cc,Not a pedestrian
532550,163320,Serious,Passenger,Female,7,29/07/2010,Thursday,16,Croydon,Car,Not a pedestrian
531110,164530,Serious,Driver or rider,Male,36,12/06/2010,Saturday,3,Croydon,Car,Not a pedestrian
531220,167990,Serious,Passenger,Female,unknown,17/08/2010,Tuesday,20,Croydon,Bus or coach (17 or more pass seats),Not a pedestrian
532980,165680,Serious,Passenger,Male,79,30/08/2010,Monday,10,Croydon,Bus or coach (17 or more pass seats),Not a pedestrian
532350,166040,Serious,Passenger,Female,88,25/08/2010,Wednesday,12,Croydon,Bus or coach (17 or more pass seats),"In carriageway, crossing elsewhere"
531250,167920,Serious,Driver or rider,Male,35,27/08/2010,Friday,17,Croydon,Motor cycle 125cc and under,Not a pedestrian
532530,164070,Serious,Pedestrian,Female,45,06/09/2010,Monday,22,Croydon,Car,Not a pedestrian
531090,169580,Serious,Driver or rider,Male,22,05/09/2010,Sunday,17,Croydon,Motor cycle 125cc and under,Not a pedestrian
534530,164400,Serious,Driver or rider,Male,30,03/09/2010,Friday,8,Croydon,Car,"In carriageway, crossing elsewhere"
529730,160960,Serious,Driver or rider,Male,53,12/09/2010,Sunday,2,Croydon,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
532540,163830,Serious,Driver or rider,Male,37,20/09/2010,Monday,8,Croydon,Motor cycle 125cc and under,"In carriageway, crossing elsewhere"
532520,164090,Serious,Passenger,Female,34,22/07/2010,Thursday,8,Croydon,Bus or coach (17 or more pass seats),Not a pedestrian
531540,167860,Serious,Driver or rider,Male,43,19/09/2010,Sunday,21,Croydon,Car,Not a pedestrian
532920,168390,Serious,Driver or rider,Female,53,11/08/2010,Wednesday,14,Croydon,Car,"In carriageway, crossing elsewhere"
534820,166610,Serious,Pedestrian,Male,12,17/09/2010,Friday,15,Croydon,Car,Not a pedestrian
534730,166710,Serious,Driver or rider,Female,19,26/09/2010,Sunday,19,Croydon,Car,Not a pedestrian
530720,169350,Serious,Driver or rider,Male,58,30/09/2010,Thursday,23,Croydon,Moped,Not a pedestrian
533420,168280,Serious,Driver or rider,Female,44,06/10/2010,Wednesday,13,Croydon,Car,"In carriageway, crossing elsewhere"
532410,168370,Serious,Pedestrian,Male,5,14/10/2010,Thursday,16,Croydon,Car,Not a pedestrian
531800,167220,Serious,Driver or rider,Female,63,21/10/2010,Thursday,9,Croydon,Car,Not a pedestrian
530940,165840,Serious,Driver or rider,Female,26,21/10/2010,Thursday,4,Croydon,Car,Not a pedestrian
531130,164200,Serious,Passenger,Female,31,03/11/2010,Wednesday,16,Croydon,Car,Not a pedestrian
530460,160370,Serious,Driver or rider,Male,63,13/11/2010,Saturday,15,Croydon,Car,Not a pedestrian
529800,160760,Serious,Driver or rider,Male,30,04/11/2010,Thursday,18,Croydon,Pedal cycle,Not a pedestrian
532470,165770,Serious,Driver or rider,Female,50,11/11/2010,Thursday,15,Croydon,Car,Not a pedestrian
533270,164850,Serious,Driver or rider,Male,76,12/11/2010,Friday,12,Croydon,Car,Not a pedestrian
534460,168070,Serious,Driver or rider,Male,13,19/11/2010,Friday,22,Croydon,Pedal cycle,Not a pedestrian
532740,163930,Serious,Pedestrian,Male,12,15/11/2010,Monday,17,Croydon,Car,Not a pedestrian
533410,164120,Serious,Passenger,Male,71,09/10/2010,Saturday,20,Croydon,Car,Not a pedestrian
531710,163900,Serious,Driver or rider,Male,18,23/11/2010,Tuesday,19,Croydon,Car,Not a pedestrian
532030,169500,Serious,Driver or rider,Male,28,27/11/2010,Saturday,15,Croydon,Car,Not a pedestrian
529800,166440,Serious,Driver or rider,Female,32,11/10/2010,Monday,8,Sutton,Pedal cycle,Not a pedestrian
526600,164520,Serious,Driver or rider,Male,39,03/01/2010,Sunday,17,Sutton,Motor cycle 125cc and under,Not a pedestrian
523480,165300,Serious,Driver or rider,Male,17,06/02/2010,Saturday,9,Sutton,Motor cycle 125cc and under,Not a pedestrian
528610,164760,Serious,Driver or rider,Male,27,12/02/2010,Friday,22,Sutton,Car,Not a pedestrian
527030,166440,Serious,Driver or rider,Male,20,18/02/2010,Thursday,10,Sutton,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
522360,166090,Serious,Driver or rider,Male,40,05/03/2010,Friday,5,Sutton,Motorcycle over 125cc and up to 500cc,Not a pedestrian
524390,164370,Serious,Driver or rider,Male,26,10/03/2010,Wednesday,8,Sutton,Car,Not a pedestrian
524390,164370,Serious,Driver or rider,Female,29,10/03/2010,Wednesday,8,Sutton,Car,Not a pedestrian
525100,165530,Serious,Pedestrian,Male,15,09/03/2010,Tuesday,18,Sutton,Car,Not a pedestrian
523200,165220,Serious,Driver or rider,Male,78,12/03/2010,Friday,14,Sutton,Car,Not a pedestrian
524510,163690,Serious,Driver or rider,Male,26,05/05/2010,Wednesday,20,Sutton,Car,Not a pedestrian
524510,163690,Serious,Driver or rider,Male,22,05/05/2010,Wednesday,20,Sutton,Car,Not a pedestrian
524560,166700,Serious,Driver or rider,Female,47,14/05/2010,Friday,7,Sutton,Car,Not a pedestrian
526630,166180,Serious,Driver or rider,Male,22,30/05/2010,Sunday,21,Sutton,Moped,Crossing on ped. crossing facility
523840,164400,Serious,Pedestrian,Female,4,14/06/2010,Monday,8,Sutton,Car,Not a pedestrian
525850,165580,Serious,Driver or rider,Female,50,02/06/2010,Wednesday,11,Sutton,Pedal cycle,"In carriageway, crossing elsewhere"
528730,165580,Serious,Driver or rider,Male,39,21/06/2010,Monday,9,Sutton,Motorcycle over 500cc,Unknown or other
527280,164560,Serious,Driver or rider,Male,25,24/06/2010,Thursday,18,Sutton,Car,Not a pedestrian
525890,164570,Serious,Passenger,Female,82,21/07/2010,Wednesday,12,Sutton,Bus or coach (17 or more pass seats),Not a pedestrian
528250,164570,Serious,Pedestrian,Male,unknown,27/07/2010,Tuesday,22,Sutton,Car,Not a pedestrian
527340,166170,Serious,Driver or rider,Male,16,15/07/2010,Thursday,17,Sutton,Motorcycle over 125cc and up to 500cc,Crossing elsewhere within 50m. of ped.crossing
523990,165920,Serious,Passenger,Male,17,29/07/2010,Thursday,1,Sutton,Car,Not a pedestrian
524090,166020,Serious,Pedestrian,Female,50,30/07/2010,Friday,12,Sutton,Car,Not a pedestrian
524420,166530,Serious,Driver or rider,Male,31,08/09/2010,Wednesday,21,Sutton,Motorcycle over 500cc,Not a pedestrian
525740,164000,Serious,Driver or rider,Female,52,01/10/2010,Friday,12,Sutton,Car,Not a pedestrian
524290,166340,Serious,Driver or rider,Male,51,29/09/2010,Wednesday,19,Sutton,Pedal cycle,Not a pedestrian
530390,163140,Serious,Driver or rider,Female,21,30/09/2010,Thursday,7,Sutton,Motor cycle 125cc and under,Not a pedestrian
522410,166230,Serious,Driver or rider,Male,44,05/10/2010,Tuesday,23,Sutton,Car,Not a pedestrian
524780,165130,Serious,Pedestrian,Male,22,19/10/2010,Tuesday,17,Sutton,Car,Not a pedestrian
527340,166200,Serious,Pedestrian,Male,20,27/10/2010,Wednesday,18,Sutton,Car,Not a pedestrian
526240,164970,Serious,Driver or rider,Male,20,13/11/2010,Saturday,2,Sutton,Car,Not a pedestrian
530090,164840,Serious,Driver or rider,Female,unknown,13/11/2010,Saturday,15,Sutton,Car,Not a pedestrian
530090,164840,Serious,Passenger,Female,25,13/11/2010,Saturday,15,Sutton,Car,Not a pedestrian
523890,165750,Serious,Driver or rider,Female,20,16/11/2010,Tuesday,8,Sutton,Pedal cycle,"In carriageway, crossing elsewhere"
529070,162930,Serious,Driver or rider,Male,23,16/11/2010,Tuesday,17,Sutton,Car,Crossing on ped. crossing facility
526190,164120,Serious,Driver or rider,Female,39,25/11/2010,Thursday,21,Sutton,Car,Not a pedestrian
528320,166470,Serious,Driver or rider,Male,36,16/12/2010,Thursday,8,Sutton,Motor cycle 125cc and under,Not a pedestrian
527450,179020,Serious,Driver or rider,Male,30,11/01/2011,Tuesday,19,Kensington and Chelsea,M/cycle over 50 and up to 125cc (from 1999),Not a pedestrian
523910,182310,Serious,Driver or rider,Female,50,28/01/2011,Friday,10,Kensington and Chelsea,Car (from 2005),Not a pedestrian
525280,178970,Serious,Pedestrian,Male,37,04/02/2011,Friday,13,Kensington and Chelsea,Car (from 2005),Crossing on pedestrian crossing facility
523860,181170,Serious,Driver or rider,Male,51,05/02/2011,Saturday,22,Kensington and Chelsea,M/cycle over 50 and up to 125cc (from 1999),Not a pedestrian
526770,177750,Serious,Pedestrian,Female,65,16/01/2011,Sunday,23,Kensington and Chelsea,Bus or coach (17 or more pass seats),On footway or verge
523770,181160,Serious,Pedestrian,Male,29,20/02/2011,Sunday,14,Kensington and Chelsea,Car (from 2005),"In carriageway, crossing elsewhere"
524960,180380,Serious,Pedestrian,Female,unknown,17/02/2011,Thursday,11,Kensington and Chelsea,Car (from 2005),Crossing on pedestrian crossing facility
526600,177280,Serious,Pedestrian,Male,16,04/03/2011,Friday,12,Kensington and Chelsea,Van / Goods 3.5 tonnes mgw or under,Crossing on pedestrian crossing facility
526660,178960,Serious,Pedestrian,Female,18,17/03/2011,Thursday,18,Kensington and Chelsea,Car (from 2005),"In carriageway, crossing elsewhere"
526330,177830,Serious,Passenger,Female,30,11/03/2011,Friday,19,Kensington and Chelsea,Motorcycle 50cc and under,Not a pedestrian
524980,178670,Serious,Driver or rider,Male,unknown,28/03/2011,Monday,16,Kensington and Chelsea,Car (from 2005),Not a pedestrian
527840,179410,Serious,Passenger,Female,38,25/03/2011,Friday,9,Kensington and Chelsea,Motorcycle over 500cc (from 2005),Not a pedestrian
525330,178820,Serious,Pedestrian,Male,51,29/03/2011,Tuesday,7,Kensington and Chelsea,Motorcycle over 500cc (from 2005),Crossing elsewhere within 50m. of ped crossing
525940,179700,Serious,Pedestrian,Female,53,14/04/2011,Thursday,11,Kensington and Chelsea,Car (from 2005),Crossing on pedestrian crossing facility
526820,177800,Serious,Driver or rider,Male,39,23/05/2011,Monday,7,Kensington and Chelsea,Pedal cycle,Not a pedestrian
524120,180010,Serious,Driver or rider,Male,33,17/05/2011,Tuesday,8,Kensington and Chelsea,Motorcycle over 500cc (from 2005),Not a pedestrian
527690,179150,Serious,Driver or rider,Male,30,24/05/2011,Tuesday,8,Kensington and Chelsea,Pedal cycle,Not a pedestrian
525420,179500,Serious,Pedestrian,Female,4,25/05/2011,Wednesday,9,Kensington and Chelsea,Car (from 2005),"In carriageway, crossing elsewhere"
524790,180300,Serious,Driver or rider,Male,23,01/06/2011,Wednesday,14,Kensington and Chelsea,Motorcycle over 500cc (from 2005),Not a pedestrian
526870,177830,Serious,Passenger,Male,26,31/05/2011,Tuesday,23,Kensington and Chelsea,Bus or coach (17 or more pass seats),Not a pedestrian
524710,180260,Serious,Driver or rider,Female,23,22/06/2011,Wednesday,7,Kensington and Chelsea,Pedal cycle,Not a pedestrian
526540,178050,Serious,Passenger,Male,51,27/06/2011,Monday,17,Kensington and Chelsea,Bus or coach (17 or more pass seats),Not a pedestrian
526810,178810,Serious,Pedestrian,Female,29,08/07/2011,Friday,19,Kensington and Chelsea,Taxi / Private hire car (from 2005),Unknown or other
524640,181190,Serious,Driver or rider,Male,22,19/07/2011,Tuesday,22,Kensington and Chelsea,Pedal cycle,Not a pedestrian
524700,180500,Serious,Driver or rider,Male,39,05/07/2011,Tuesday,7,Kensington and Chelsea,Pedal cycle,Not a pedestrian
524620,179030,Serious,Passenger,Female,4,24/07/2011,Sunday,12,Kensington and Chelsea,Bus or coach (17 or more pass seats),Not a pedestrian
526500,178940,Serious,Driver or rider,Female,58,28/08/2011,Sunday,16,Kensington and Chelsea,Pedal cycle,Not a pedestrian
527350,178160,Serious,Driver or rider,Male,31,01/09/2011,Thursday,8,Kensington and Chelsea,Pedal cycle,Not a pedestrian
524320,181290,Serious,Driver or rider,Male,36,16/09/2011,Friday,17,Kensington and Chelsea,Pedal cycle,Not a pedestrian
525160,180720,Serious,Driver or rider,Female,24,23/09/2011,Friday,0,Kensington and Chelsea,Pedal cycle,Not a pedestrian
524160,181400,Serious,Pedestrian,Female,16,28/09/2011,Wednesday,8,Kensington and Chelsea,Bus or coach (17 or more pass seats),"In carriageway, crossing elsewhere"
524160,181400,Serious,Passenger,Female,65,28/09/2011,Wednesday,8,Kensington and Chelsea,Bus or coach (17 or more pass seats),Not a pedestrian
524650,179050,Serious,Pedestrian,Male,33,08/10/2011,Saturday,23,Kensington and Chelsea,Car (from 2005),Crossing elsewhere within 50m. of ped crossing
523980,179790,Serious,Driver or rider,Male,21,14/10/2011,Friday,9,Kensington and Chelsea,Pedal cycle,Not a pedestrian
524700,179080,Serious,Driver or rider,Male,23,14/10/2011,Friday,11,Kensington and Chelsea,Motorcycle over 500cc (from 2005),Not a pedestrian
523970,179790,Serious,Pedestrian,Male,36,13/10/2011,Thursday,22,Kensington and Chelsea,M/cycle over 50 and up to 125cc (from 1999),"In carriageway, crossing elsewhere"
526280,178790,Serious,Pedestrian,Male,12,30/10/2011,Sunday,10,Kensington and Chelsea,Car (from 2005),Crossing elsewhere within 50m. of ped crossing
528540,177920,Serious,Driver or rider,Female,33,16/11/2011,Wednesday,19,Kensington and Chelsea,Pedal cycle,Not a pedestrian
525480,178850,Serious,Driver or rider,Male,35,10/11/2011,Thursday,17,Kensington and Chelsea,M/cycle over 50 and up to 125cc (from 1999),Not a pedestrian
527310,179230,Serious,Pedestrian,Female,23,06/12/2011,Tuesday,12,Kensington and Chelsea,Motorcycle over 500cc (from 2005),"In carriageway, crossing elsewhere"
526420,177440,Serious,Driver or rider,Male,30,15/12/2011,Thursday,20,Kensington and Chelsea,Pedal cycle,Not a pedestrian
532740,181040,Serious,Driver or rider,Female,32,07/01/2011,Friday,8,City of London,Motorcycle over 500cc (from 2005),Not a pedestrian
532180,181070,Serious,Driver or rider,Male,48,13/01/2011,Thursday,11,City of London,Motorcycle over 500cc (from 2005),Not a pedestrian
531670,180940,Serious,Driver or rider,Male,21,18/01/2011,Tuesday,11,City of London,Pedal cycle,Not a pedestrian
532860,180830,Serious,Driver or rider,Male,28,04/01/2011,Tuesday,19,City of London,Pedal cycle,Not a pedestrian
532430,180880,Serious,Driver or rider,Female,unknown,27/01/2011,Thursday,8,City of London,Pedal cycle,Not a pedestrian
531120,180810,Serious,Driver or rider,Male,28,03/02/2011,Thursday,8,City of London,Motorcycle over 500cc (from 2005),Not a pedestrian
533280,181600,Serious,Pedestrian,Male,36,07/02/2011,Monday,8,City of London,Motorcycle over 125cc and up to 500cc (from 2005),Crossing elsewhere within 50m. of ped crossing
531800,180940,Serious,Driver or rider,Female,29,14/02/2011,Monday,18,City of London,Pedal cycle,Not a pedestrian
532190,181130,Serious,Driver or rider,Male,43,10/03/2011,Thursday,16,City of London,Motorcycle over 500cc (from 2005),Not a pedestrian
533010,181050,Serious,Driver or rider,Female,26,03/03/2011,Thursday,23,City of London,M/cycle over 50 and up to 125cc (from 1999),Not a pedestrian
531800,180940,Serious,Driver or rider,Female,24,29/03/2011,Tuesday,11,City of London,Pedal cycle,Not a pedestrian
533670,180890,Serious,Driver or rider,Male,27,10/04/2011,Sunday,5,City of London,Car (from 2005),Not a pedestrian
532460,181030,Serious,Driver or rider,Male,30,11/04/2011,Monday,22,City of London,Motorcycle 50cc and under,Not a pedestrian
