Easting,Northing,Severity of casualty,Casualty Class,Sex,Age,Date,Day of week,Hour of day,Local authority,Vehicle type,Pedestrian Locality
526330,178260,Serious,Driver or rider,Male,31,23/09/2010,Thursday,8,Kensington and Chelsea,Motorcycle over 500cc,Crossing on ped. crossing facility
526500,177150,Serious,Driver or rider,Male,33,30/09/2010,Thursday,18,Kensington and Chelsea,Motorcycle over 125cc and up to 500cc,Not a pedestrian
525580,178180,Serious,Pedestrian,Female,73,10/10/2010,Sunday,22,Kensington and Chelsea,Taxi/Private hire car,Not a pedestrian
526470,177970,Serious,Driver or rider,Male,39,06/10/2010,Wednesday,18,Kensington and Chelsea,Pedal cycle,"In carriageway, not crossing"
524300,181430,Serious,Pedestrian,Female,39,08/10/2010,Friday,10,Kensington and Chelsea,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
525570,179870,Serious,Driver or rider,Female,33,11/10/2010,Monday,6,Kensington and Chelsea,Pedal cycle,Not a pedestrian
527900,177760,Serious,Driver or rider,Male,56,06/10/2010,Wednesday,8,Kensington and Chelsea,Motorcycle over 500cc,Not a pedestrian
524750,179060,Serious,Passenger,Female,41,20/10/2010,Wednesday,11,Kensington and Chelsea,Car,Not a pedestrian
526080,177250,Serious,Pedestrian,Male,33,05/11/2010,Friday,23,Kensington and Chelsea,Other motor vehicle,Not a pedestrian
525610,179620,Serious,Pedestrian,Female,66,15/11/2010,Monday,18,Kensington and Chelsea,Pedal cycle,Not a pedestrian
526760,177730,Serious,Driver or rider,Male,28,25/11/2010,Thursday,7,Kensington and Chelsea,Pedal cycle,Not a pedestrian
524000,182070,Serious,Driver or rider,Male,26,12/11/2010,Friday,22,Kensington and Chelsea,Motorcycle over 500cc,Not a pedestrian
527610,179510,Serious,Pedestrian,Male,52,09/12/2010,Thursday,19,Kensington and Chelsea,Motorcycle over 500cc,Crossing on ped. crossing facility
523910,182310,Serious,Passenger,Female,44,28/11/2010,Sunday,22,Kensington and Chelsea,Car,Not a pedestrian
524700,180500,Serious,Driver or rider,Female,29,02/11/2010,Tuesday,7,Kensington and Chelsea,Pedal cycle,"In carriageway, crossing elsewhere"
526120,177940,Serious,Driver or rider,Male,48,04/03/2010,Thursday,18,Kensington and Chelsea,Pedal cycle,"In carriageway, crossing elsewhere"
532780,181770,Serious,Driver or rider,Male,40,18/01/2010,Monday,6,City of London,Pedal cycle,Not a pedestrian
532870,180680,Serious,Pedestrian,Female,45,04/02/2010,Thursday,9,City of London,Car,Not a pedestrian
533190,180930,Serious,Pedestrian,Female,21,23/02/2010,Tuesday,8,City of London,Bus or coach (17 or more pass seats),Not a pedestrian
532750,181060,Serious,Driver or rider,Male,38,11/02/2010,Thursday,8,City of London,Pedal cycle,Not a pedestrian
533220,180940,Serious,Pedestrian,Male,32,17/03/2010,Wednesday,18,City of London,Pedal cycle,Not a pedestrian
532950,180890,Serious,Driver or rider,Female,27,18/03/2010,Thursday,11,City of London,Pedal cycle,Not a pedestrian
533330,181680,Serious,Driver or rider,Male,27,16/03/2010,Tuesday,16,City of London,Moped,On footway or verge
532430,180870,Serious,Driver or rider,Male,31,13/03/2010,Saturday,12,City of London,Pedal cycle,Not a pedestrian
532700,181540,Serious,Driver or rider,Male,45,13/03/2010,Saturday,4,City of London,Taxi/Private hire car,"In carriageway, crossing elsewhere"
